No.,Source,Src Port,Destination,Dst Port,Protocol,Length,Info
93,192.168.3.205,55845,192.168.3.207,445,TCP,66,"55845 > microsoft-ds [FIN, ACK] Seq=7761 Ack=9872 Win=57632 Len=0 TSval=25102621 TSecr=672326"
94,192.168.3.207,445,192.168.3.205,55845,TCP,66,"microsoft-ds > 55845 [FIN, ACK] Seq=9872 Ack=7762 Win=63339 Len=0 TSval=672326 TSecr=25102621"
95,192.168.3.205,55845,192.168.3.207,445,TCP,66,55845 > microsoft-ds [ACK] Seq=7762 Ack=9873 Win=57632 Len=0 TSval=25102621 TSecr=672326
96,192.168.3.207,1076,192.168.3.205,4444,TCP,62,dab-sti-c > krb524 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1
97,192.168.3.205,4444,192.168.3.207,1076,TCP,62,"krb524 > dab-sti-c [SYN, ACK] Seq=0 Ack=1 Win=14600 Len=0 MSS=1460 SACK_PERM=1"
98,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1 Ack=1 Win=64240 Len=0
99,192.168.3.205,4444,192.168.3.207,1076,TCP,58,"krb524 > dab-sti-c [PSH, ACK] Seq=1 Ack=1 Win=14600 Len=4"
100,192.168.3.205,4444,192.168.3.207,1076,TCP,13194,krb524 > dab-sti-c [ACK] Seq=5 Ack=1 Win=14600 Len=13140
101,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1 Ack=1465 Win=64240 Len=0
102,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1 Ack=4385 Win=64240 Len=0
103,192.168.3.205,4444,192.168.3.207,1076,TCP,8814,krb524 > dab-sti-c [ACK] Seq=13145 Ack=1 Win=14600 Len=8760
104,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1 Ack=7305 Win=64240 Len=0
105,192.168.3.205,4444,192.168.3.207,1076,TCP,4434,krb524 > dab-sti-c [ACK] Seq=21905 Ack=1 Win=14600 Len=4380
106,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1 Ack=10225 Win=62780 Len=0
107,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1 Ack=13145 Win=59860 Len=0
