PID	Date	Src	SrcPort	Dest	DestPort	caplen	len	hex
29	Tue May 15 03:16:12 EDT 2012	192.168.3.205	55845	192.168.3.207	445	129	129	000c29b3354c000c29957b74080045000073d48940004006dd0ec0a803cdc0a803cfda2501bde94ee53fce9cfaae8018052f895200000101080a017f08b7000a42410000003bff534d422e000000001801280000000000000000000000000008d74a0108bc880aff0000000140b7030000aa03aa03ffffffff0000000000000000
30	Tue May 15 03:16:12 EDT 2012	192.168.3.207	445	192.168.3.205	55845	1068	1068	000c29957b74000c29b3354c08004500041e09c9400080066424c0a803cfc0a803cd01bdda25ce9cfaaee94ee57e8018f94d861d00000101080a000a4241017f08b7000003e6ff534d422e050000809801680000000000000000000000000008d74a0108bc880cff000000000000000000aa033c0000000000000000000000ab03000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
31	Tue May 15 03:16:12 EDT 2012	192.168.3.205	55845	192.168.3.207	445	129	129	000c29b3354c000c29957b74080045000073d48a40004006dd0dc0a803cdc0a803cfda2501bde94ee57ece9cfe98801805ac895200000101080a017f08b8000a42410000003bff534d422e000000001801280000000000000000000000000008d74a0108bc880aff0000000140a901000031013101ffffffff0000000000000000
32	Tue May 15 03:16:12 EDT 2012	192.168.3.207	445	192.168.3.205	55845	435	435	000c29957b74000c29b3354c0800450001a509ca40008006669cc0a803cfc0a803cd01bdda25ce9cfe98e94ee5bd8018f90e8c1600000101080a000a4241017f08b80000016dff534d422e050000809801680000000000000000000000000008d74a0108bc880cff00000000000000000031013c00000000000000000000003201000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
33	Tue May 15 03:16:12 EDT 2012	192.168.3.205	55845	192.168.3.207	445	129	129	000c29b3354c000c29957b74080045000073d48b40004006dd0cc0a803cdc0a803cfda2501bde94ee5bdce9d000980180629895200000101080a017f08b9000a42410000003bff534d422e000000001801280000000000000000000000000008d74a0108bc880aff000000014090010000f803f803ffffffff0000000000000000
34	Tue May 15 03:16:12 EDT 2012	192.168.3.207	445	192.168.3.205	55845	1146	1146	000c29957b74000c29b3354c08004500046c09cb4000800663d4c0a803cfc0a803cd01bdda25ce9d0009e94ee5fc8018f8cf7f8800000101080a000a4241017f08b900000434ff534d422e050000809801680000000000000000000000000008d74a0108bc880cff000000000000000000f8033c0000000000000000000000f903000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
35	Tue May 15 03:16:12 EDT 2012	192.168.3.205	55845	192.168.3.207	445	129	129	000c29b3354c000c29957b74080045000073d48c40004006dd0bc0a803cdc0a803cfda2501bde94ee5fcce9d0441801806b0895200000101080a017f08ba000a42410000003bff534d422e000000001801280000000000000000000000000008d74a0108bc880aff000000014074000000a601a601ffffffff0000000000000000
36	Tue May 15 03:16:12 EDT 2012	192.168.3.207	445	192.168.3.205	55845	552	552	000c29957b74000c29b3354c08004500021a09cc400080066625c0a803cfc0a803cd01bdda25ce9d0441e94ee63b8018f890849700000101080a000a4241017f08ba000001e2ff534d422e050000809801680000000000000000000000000008d74a0108bc880cff000000000000000000a6013c0000000000000000000000a701000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
37	Tue May 15 03:16:12 EDT 2012	192.168.3.205	55845	192.168.3.207	445	129	129	000c29b3354c000c29957b74080045000073d48d40004006dd0ac0a803cdc0a803cfda2501bde94ee63bce9d062780180737895200000101080a017f08bb000a42410000003bff534d422e000000001801280000000000000000000000000008d74a0108bc880aff0000000140f3000000a901a901ffffffff0000000000000000
38	Tue May 15 03:16:12 EDT 2012	192.168.3.207	445	192.168.3.205	55845	555	555	000c29957b74000c29b3354c08004500021d09cd400080066621c0a803cfc0a803cd01bdda25ce9d0627e94ee67a8018f85182a400000101080a000a4241017f08bb000001e5ff534d422e050000809801680000000000000000000000000008d74a0108bc880cff000000000000000000a9013c0000000000000000000000aa01000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
